season,player_id,player_name,position,weight,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint
2008,201563,Michael Beasley,PF-SF,239.0,30.0,35.0,11.06,3.24
2008,12239,Ramel Bradley,PG-SG,184.0,24.5,29.5,10.68,3.24
2008,12240,Tyrone Brazelton,PG,166.0,30.0,34.0,11.59,3.25
2008,12241,Takais Brown,PF,252.0,29.0,31.0,12.47,3.25
2008,201812,Keith Brumbaugh,SF-PF,190.0,26.0,27.0,11.65,3.28
2008,201868,Stanley Burrell,PG,201.0,29.5,34.5,11.19,3.19
2008,12242,Brian Butch,C-PF,229.6,24.0,26.5,11.87,3.52
2008,12243,Jamar Butler,PG,182.0,,,,
2008,12244,Pat Calathes,SF-PF,204.0,,,,
2008,12245,Joe Crawford,SG,213.0,31.0,36.0,11.67,3.22
2008,12246,Chris Daniels,C-PF,256.0,26.0,28.5,12.72,3.56
2008,201595,Joey Dorsey,PF-C,265.0,27.5,33.0,11.84,3.2
2008,12247,Marcus Dove,SF-PF,208.0,27.5,33.5,11.59,3.26
2008,12248,Josh Duncan,PF,230.0,28.0,32.0,12.47,3.26
2008,12249,Frank Elegar,PF,210.0,33.5,37.5,11.86,3.17
2008,201607,Patrick Ewing Jr.,SF-PF,224.0,35.0,42.0,11.77,3.43
2008,201814,Gary Forbes,SG,220.5,27.5,33.5,11.45,3.25
2008,12250,Shan Foster,SG,194.5,30.0,33.0,12.3,3.24
2008,201592,J.R. Giddens,SG,208.0,,,,
2008,12251,James Gist,PF,220.0,30.5,35.0,11.37,3.14
2008,12252,Vladimir Golubovic,C,258.0,21.5,27.0,12.4,3.33
2008,201569,Eric Gordon,SG,222.0,32.0,40.0,10.81,3.01
2008,201863,Kentrell Gransberry,C,290.0,24.5,27.5,12.16,3.32
2008,201590,Donte Greene,SF-PF,221.0,27.5,31.5,11.21,3.2
2008,201612,Malik Hairston,SG,204.0,30.5,38.0,11.33,3.08
2008,201614,DeVon Hardin,C-PF,235.0,29.5,32.0,11.49,3.33
2008,201613,Richard Hendrix,PF,250.0,26.5,28.0,10.62,3.27
2008,201588,George Hill,PG,181.0,34.0,37.5,12.2,3.07
2008,12254,Kyle Hines,SF-PF,234.0,28.5,33.0,12.17,3.4
2008,12255,Jiri Hubalek,C-PF,226.0,20.5,26.0,12.26,3.54
2008,201991,Lester Hudson,PG,196.0,30.5,36.0,11.15,3.16
2008,201629,Othello Hunter,PF-SF,220.0,28.0,34.5,11.51,3.18
2008,201616,Darnell Jackson,PF,240.5,27.0,31.0,11.75,3.26
2008,12256,Shawn James,PF,217.0,,,,
2008,12257,Davon Jefferson,SF,213.0,27.0,32.0,12.02,3.36
2008,12258,Joseph Jones,PF,240.0,25.5,31.0,11.61,3.33
2008,201599,DeAndre Jordan,C,250.0,26.0,30.5,12.3,3.27
2008,12253,Sasha Kaun,C-PF,247.0,29.0,32.0,12.06,3.2
2008,12260,Marcelus Kemp,SG,221.0,26.0,30.0,11.79,3.39
2008,12261,Maarty Leunen,SF,222.0,29.5,34.5,11.57,3.36
2008,201848,Longar Longar,C,212.5,,,,
2008,201572,Brook Lopez,C,258.0,27.5,30.5,12.77,3.57
2008,201567,Kevin Love,PF,255.0,29.5,35.0,11.17,3.22
2008,12262,Aleks Maric,C,273.0,23.0,28.0,11.76,3.35
2008,201564,O.J. Mayo,SG-PG,200.0,30.5,41.0,11.04,3.14
2008,201651,James Mays,PF,227.0,29.5,35.0,11.23,3.19
